Name	468_MeCP2_NTC - linear total RPKM	468_MeCP2_sh1 - linear total RPKM	468_MeCP2_sh3 - linear total RPKM
FAM30A	1.727	0.883	0.798
FAM30B	0	0	0
FAM30C	4.167	9.884	8.78
FAM32A	6.916	39.53	43.035
FAM41AY1	0.001	0.001	0
FAM41AY2	0.001	0.001	0
FAM41C	0.011	0.745	0.512
FAM43A	1.99	3.711	4.002
FAM43B	0.001	0	0.001
FAM47A	0	0	0
FAM47B	0	0	0
FAM47C	0	0.001	0
FAM47E	0.019	0.233	0.128
FAM47E-STBD1	0.007	0	0.004
FAM49A	1.697	5.566	5.066
FAM49B	0.012	0.017	0.174
FAM50A	21.376	97.752	83.557
FAM50B	4.506	10.873	12.869
FAM53A	0.54	1.113	1.29
FAM53B	2.102	6.588	5.679
FAM53B-AS1	7.373	5.75	5.693
FAM53C	4.824	18.915	18.273
FAM66A	0.001	0	0
FAM66B	0.492	1.051	0.932
FAM66C	0.406	1.04	0.815
FAM66D	0	0	0.001
FAM66E	0.001	0	0
FAM71A	0	0.101	0.001
FAM71B	0	0	0
FAM71C	0.02	0.012	0.2
FAM71D	0.001	0	0.001
FAM71E1	1.562	2.684	3.516
FAM71E2	0	0	0.001
FAM71F1	0	0.001	0.016
FAM71F2	0.067	0.582	1
FAM72A	2.211	18.651	9.591
FAM72B	0.112	2.606	1.762
FAM72C	1.18	2.272	2.423
FAM72D	1.706	4.642	3.585
FAM74A1	0	0	0
FAM74A3	5.392	3.753	4.02
FAM74A4	0.888	0.882	0.917
FAM74A6	0	0	0
FAM74A7	14.106	12.832	12.478
FAM76A	3.747	4.289	4.935
FAM76B	1.459	2.748	2.492
FAM78A	0.049	0.358	1.192
FAM78B	0.091	0.131	0.087
FAM78B-AS1	1.557	1.145	1.424
FAM81A	0.78	2.338	1.454
FAM81B	0.012	0.001	0
FAM83A	0.002	0.002	0.133
FAM83A-AS1	0	0.002	0.001
FAM83B	0.721	5.067	3.987
FAM83C	0	0	0
FAM83C-AS1	0.002	0	0.002
FAM83D	15.222	41.363	30.393
FAM83E	2.741	4.163	7.318
FAM83F	5.331	8.352	7.693
FAM83G	1.41	6.755	5.793
FAM83H	16.863	50.618	52.115
FAM83H-AS1	39.293	42.149	43.807
FAM85A	0.213	0.627	0.415
FAM85B	0.266	1.331	0.664
FAM86B1	0.512	1.812	1.515
FAM86B2	0.441	0.839	0.67
FAM86C1	1.61	4.774	7.224
FAM87A	0.002	0.093	0.079
FAM87B	0.031	0.475	0.47
FAM89A	4.766	9.237	9.857
FAM89B	18.587	44.777	45.298
FAM90A1	0	0.002	0
FAM90A26	0	0	0
FAM91A1	3.381	17.482	15.921
FAM92A	2.31	4.37	4.014
FAM92B	0	0	0
FAM95A	0.111	0.457	0.237
FAM95B1	0.012	0.121	0.138
FAM95C	1.433	3.476	2.767
FAM98A	4.353	17.568	14.966
FAM98B	3.415	9.305	7.961
FAM98C	6.465	8.317	8.911
FAM99A	0	0	0
FAM99B	0	0	0
FAM102A	6.508	20.58	17.872
FAM102B	0.191	5.877	4.418
FAM104A	8.627	24.095	24.534
FAM104B	0.808	3.315	3.377
FAM106A	0.002	0.011	0.001
FAM106B	0.03	0.011	0.026
FAM106C	0.002	0.214	0.001
FAM107A	0.002	0	0
FAM107B	0.102	5.597	8.841
FAM110A	7.173	30.16	26.161
FAM110B	0	0	0.001
FAM110C	2.988	5.233	5.242
FAM110D	0.002	0.201	0.162
FAM111A	4.108	23.019	14.839
FAM111A-DT	3.879	5.538	5.262
FAM111B	5.173	34.483	23.854
FAM114A1	13.445	20.272	16.874
FAM114A2	0.892	4.947	4.045
FAM117A	9.875	8.338	8.496
FAM117B	1.561	5.095	6.051
FAM118A	8.429	7.495	6.795
FAM118B	2.257	14.033	13.276
FAM120A	14.462	64.28	55.352
FAM120AOS	13.251	14.562	13.953
FAM120B	1.215	4.187	3.66
FAM120C	1.236	2.01	1.375
FAM122A	0.106	2.881	2.269
FAM122B	4.354	23.1	21.851
FAM122C	81.893	96.243	95.331
FAM124A	0.055	1.827	0.823
FAM124B	0.084	0.129	0.018
FAM126A	2.324	13.126	11.789
FAM126B	1.477	7.755	4.065
FAM131A	1.857	3.774	3.526
FAM131B	0.002	0.013	0
FAM131C	0.064	0.549	1.706
FAM133A	0	0	0
FAM133B	1.429	6.752	5.054
FAM135A	0.082	1.302	1.121
FAM135A-AS1	0.003	0.401	0.439
FAM135B	0.155	0.089	0.14
FAM136A	6.584	37.289	35.802
FAM138A	0.002	0	0.002
FAM138B	1.039	1.019	1.17
FAM138C	0.002	0	0.002
FAM138D	7.261	9.965	9.025
FAM138E	0.97	1.83	1.264
FAM138F	0.002	0	0.002
FAM149A	0.016	0.205	0.01
FAM149B1	4.849	12.192	10.19
FAM151A	0.041	0.352	1.008
FAM151B	0.295	0.206	0.462
FAM153A	2.344	2.621	2.932
FAM153B	0	0	0
FAM155A	0.076	0	0.007
FAM155A-IT1	0	0	0
FAM155B	0	0	0
FAM156A	0	0	0
FAM156B	0	0	0
FAM157A	2.624	3.52	3.085
FAM157B	3.992	6.616	6.15
FAM157C	14.3	12.055	11.29
FAM160A1	2.421	5.83	6.195
FAM160A1-DT	1.173	1.112	1.247
FAM160A2	1.201	2.963	3.065
FAM160B1	1.055	4.171	3.657
FAM160B2	2.647	10.199	8.405
FAM161A	11.193	9.87	10.546
FAM161B	0.427	1.282	1.253
FAM162A	0.469	25.055	17.653
FAM162B	0	0	0.002
FAM163A	0	0	0
FAM163B	0	0	0
FAM166A	0.014	0.017	0.162
FAM166B	0.453	0.703	0.953
FAM166C	0.078	1.677	1.504
FAM167A	0	0	0
FAM167A-AS1	0	0	0
FAM167B	0.886	1.248	0.387
FAM168A	3.902	22.321	19.795
FAM168B	12.291	46.06	42.599
FAM169A	0.403	1.029	1.074
FAM169B	0	0	0
FAM170A	0.002	0	0
FAM170B	0	0	0
FAM170B-AS1	0	0	0
FAM171A1	0	0	0
FAM171A2	1.648	3.282	4.048
FAM171B	1.43	10.265	6.486
FAM172A	0.133	3.252	3.304
FAM174A	2.428	3.811	2.918
FAM174B	7.372	24.997	20.14
FAM174C	9.545	18.621	20.609
FAM177A1	4.274	15.915	15.538
FAM177B	0.006	0	0.001
FAM178B	0.02	0.017	0.209
FAM180A	0	0.002	0
FAM180B	0.002	0.015	0
FAM181A	0	0	0
FAM181A-AS1	0	0	0.004
FAM181B	0.001	0	0
FAM182A	0.006	0.025	0.131
FAM182B	1.162	0.837	1.267
FAM183A	0.045	1.602	1.691
FAM184A	0.094	2.253	1.714
FAM184B	0.154	0.579	0.292
FAM185A	2.019	4.073	3.727
FAM186A	0.004	0.022	0.044
FAM186B	0.21	0.455	0.391
FAM187A	0.002	0.001	0.126
FAM187B	0	0	0
FAM189A1	0.001	0.001	0.001
FAM189A2	0.058	0.927	1.138
FAM189B	7.512	30.912	20.669
FAM193A	4.523	8.558	7.667
FAM193B	11.989	18.779	19.827
FAM197Y3	0.001	0.001	0.001
FAM197Y4	0.001	0.001	0.001
FAM197Y5	0.001	0.001	0.001
FAM197Y6	0	0	0
FAM197Y7	0.001	0.001	0.001
FAM197Y8	0.001	0.001	0.001
FAM197Y9	0.001	0.001	0.001
FAM198B-AS1	0.028	1.398	0.526
FAM199X	5.345	27.936	24.382
FAM200A	0.067	1.593	1.03
FAM200B	0.083	2.447	1.894
FAM201A	1.423	3.36	2.973
FAM201B	0.709	1.58	1.803
FAM204A	3.675	5.49	5.497
FAM205A	0.004	0	0
FAM205C	0	0	0
FAM207A	28.555	43.691	45.48
FAM209A	0.001	0.002	0.001
FAM209B	3.464	3.278	3.267
FAM210A	0.403	17.773	18.549
FAM210B	8.568	18.359	21.387
FAM214A	1.034	2.459	1.641
FAM214B	1.231	4.616	5.043
FAM215A	0.121	2.323	1.85
FAM215B	2.613	3.913	3.435
FAM216A	0.07	1.145	1.034
FAM216B	0	0	0
FAM217A	0.001	0.114	0.001
FAM217B	0.162	4.681	3.54
FAM218A	0.042	0.601	0.564
FAM219A	1.943	6.93	5.794
FAM219B	3.805	6.706	6.063
FAM220A	2.815	13.776	12.813
FAM221A	3.481	6.319	5.321
FAM221B	0.024	0.336	0.358
FAM222A	0.566	1.643	2.109
FAM222A-AS1	0.011	0.014	0.187
FAM222B	1.135	6.308	6.104
FAM223A	0.572	0.938	0.99
FAM223B	0.572	0.938	0.99
FAM224A	0.016	0.532	0.609
FAM224B	0.016	0	0
FAM225A	0.303	1.304	0.98
FAM225B	0.014	0.002	0.02
FAM226A	0.004	0.001	0.001
FAM226B	0.004	0.001	0.001
FAM227A	0.585	1.435	2.109
FAM227B	0.024	0.213	0.154
FAM228A	0	0	0
FAM228B	1.059	2.791	2.843
FAM229A	1.01	2.106	1.862
FAM229B	3.342	10.801	7.66
FAM230A	2.923	0.074	3.17
FAM230B	0.943	3.323	2.695
FAM230C	0.607	1.475	1.466
FAM230D	0.92	0.064	0
FAM230E	0.001	0.005	0.01
FAM230F	0.243	0.257	0.024
FAM230G	0.001	0	0
FAM230H	0.043	0.552	0.525
FAM230I	0.001	0.001	0.001
FAM230J	0	0.001	0
FAM234A	3.259	9.034	10.419
FAM234B	0.042	0.847	0.75
FAM236A	0	0	0
FAM236B	0	0	0
FAM236C	0	0	0
FAM236D	0	0	0
FAM237A	0	0	0
FAM237B	0.313	0.464	0.349
FAM238A	0.012	0.002	0.077
FAM238B	0.363	0.469	0.464
FAM238C	0.022	0.225	0.022
FAM239C	5.918	7.862	8.309
FAM240A	0	0	0
FAM241A	1.706	13.769	7.776
FAM241B	4.056	9.583	7.696
FAM242A	0.214	0.632	0.545
FAM242B	0.024	0.287	0.191
FAM242E	0.002	0.129	0.188
FAM242F	0	0.001	0.007
FAM243A	0.01	0.119	0.023
FAM243B	0.01	0.119	0.023
FAM245A	9.456	9.997	10.294
FAM245B	0.642	0.611	0.638
FAN1	3.743	6.559	5.965
FANCA	3.877	12.444	12.574
FANCB	0.311	1.524	1.055
FANCC	1.232	7.709	5.885
FANCD2	0.8	6.159	5.75
FANCD2OS	0	0	0
FANCE	8.795	12.34	12.779
FANCF	0.167	4.831	6.031
FANCG	10.445	35.835	35.566
FANCI	3.157	16.549	13.873
FANCL	5.231	14.234	16.57
FANCM	0.379	2.074	1.53
FANK1	1.254	1.279	1.555
FANK1-AS1	0.002	0.002	0
FAP	0.027	0.711	0.54
FAR1	2.402	8.723	8.101
FAR2	0.035	1.82	0.918
FARP1	9.625	33.452	28.026
FARP2	0.217	6.53	6.014
FARS2	2.704	8.851	8.433
FARSA	36.254	70.86	72.192
FARSA-AS1	0.047	1.016	1.875
FARSB	9.92	13.93	11.573
FAS	0.111	0.393	0.165
FAS-AS1	0.007	0.013	0.007
FASLG	0.13	0.013	0.002
FASN	42.768	245.021	136.802
FASTK	17.256	32.014	31.555
FASTKD1	1.121	4.555	3.792
FASTKD2	1.958	10.985	9.327
FASTKD3	0.146	4.365	3.5
FASTKD5	1.8	10.145	8.104
FAT1	7.155	32.775	31.871
FAT2	0.477	1.137	1.28
FAT3	0.193	2.039	3.378
FAT4	0.001	0.001	0
FATE1	0.002	0	0
FAU	143.184	475.106	488.617
FAXC	2.131	3.95	2.52
FAXDC2	0.101	2.02	1.94
FBF1	1.494	4.47	4.415
FBH1	6.697	20.39	21.614
FBL	62.987	183.438	176.929
FBLIM1	10.406	20.409	25.71
FBLL1	0.017	0.001	0.021
FBLN1	34.86	122.795	117.444
FBLN2	0.042	0.008	0.001
FBLN5	0.086	1.814	1.646
FBLN7	1.527	1.791	1.782
FBN1	0.122	0.365	0.111
FBN2	0	0	0
FBN3	0.145	1.488	1.035
FBP1	0.231	0	0.47
FBP2	0.002	0.354	0.356
FBRS	6.048	11.118	12.55
FBRSL1	14.383	24.243	26.445
FBXL2	8.076	7.859	7.449
FBXL3	3.385	18.704	16.909
FBXL4	9.309	9.837	10.178
FBXL5	0.777	4.216	4.029
FBXL6	5.761	20.095	23.013
FBXL7	0	0	0
FBXL8	2.282	5.143	3.78
FBXL12	16.696	34.091	34.544
FBXL13	7.037	5.908	6.066
FBXL14	7.699	7.086	7.037
FBXL15	5.87	6.557	8.739
FBXL16	0.428	0.354	0.541
FBXL17	2.652	6.47	6.296
FBXL18	9.107	16.51	15.889
FBXL19	7.817	15.175	15.615
FBXL19-AS1	13.655	11.63	12.206
FBXL20	0.141	5.06	4.781
FBXL22	0.355	0.632	0.491
FBXO2	2.913	0.409	0.807
FBXO3	5.385	25.155	21.529
FBXO3-DT	0.002	0.002	0.002
FBXO4	0.674	2.682	2.545
FBXO5	1.855	9.186	7.073
FBXO6	0.068	0.728	0.755
FBXO7	10.027	50.127	43.989
FBXO8	0.106	3.65	2.385
FBXO9	5.469	34.024	29.644
FBXO10	1.254	3.972	3.252
FBXO11	3.216	14.493	11.322
FBXO15	0.002	0.02	0.105
FBXO16	0.432	2.669	2.813
FBXO17	4.513	9.194	8.69
FBXO21	3.391	9.474	9.841
FBXO22	11.631	13.63	12.585
FBXO24	0.028	0.328	0.222
FBXO25	1.256	5.035	3.743
FBXO27	0.045	0.81	1.061
FBXO28	3.621	12.444	8.11
FBXO30	0.19	4.971	4.316
FBXO31	4.441	8.497	8.982
FBXO32	1.47	9.988	8.767
FBXO33	1.283	3.304	3.656
FBXO34	1.633	9.822	7.794
FBXO36	0.098	0.868	1.377
FBXO38	0.174	5.676	4.821
FBXO39	0	0	0
FBXO40	0	0	0.001
FBXO41	3.875	5.797	5.988
FBXO42	0.573	3.374	3.12
FBXO43	0.048	1.357	0.586
FBXO44	11.069	8.454	8.876
FBXO45	4.054	6.087	5.094
FBXO46	4.318	13.809	12.707
FBXO47	0	0	0
FBXO48	0.077	1.558	1.112
FBXW2	4.276	17.371	16.574
FBXW4	3.173	6.498	6.465
FBXW5	7.83	23.956	26.613
FBXW7	1.538	6.454	6.741
FBXW8	7.012	7.825	7.478
FBXW9	1.912	7.133	8.138
FBXW10	0.041	0.286	0.633
FBXW11	5.823	31.938	26.605
FBXW12	0	0	0
FCAMR	0	0	0.001
FCAR	0	0.002	0
FCER1A	0	0	0
FCER1G	0.002	0.031	0.002
FCER2	0	0	0.001
FCF1	0.396	18.926	14.594
FCGBP	1.551	4.081	4.143
FCGR1A	0	0	0
FCGR1B	1.372	1.497	1.18
FCGR2A	0	0.001	0.008
FCGR2B	0	0	0
FCGR3A	0	0	0
FCGR3B	0	0	0
FCGRT	0.031	0	0
FCHO1	0.036	0.508	0.435
FCHO2	0.137	3.244	2.845
FCHSD1	3.518	4.974	5.349
FCHSD2	2.432	5.182	5.018
FCMR	0.261	0.828	0.633
FCN1	0	0.001	0
FCN2	0.001	0.001	0
FCN3	0	0.001	0
FCRL1	0.724	1.017	0.882
FCRL2	0.774	2.2	1.888
FCRL3	0	0	0
FCRL4	0	0	0
FCRL5	0	0	0
FCRL6	0.041	0.863	0.883
FCRLA	0	0	0
FCRLB	0.019	0.239	0.002
FCSK	9.048	7.934	7.798
FDCSP	0	0	0
FDFT1	19.608	169.602	117.768
FDPS	30.172	116.23	77.985
FDX1	21.416	40.519	31.543
FDX2	20.62	63.948	51.169
FDXACB1	6.437	6.208	5.368
FDXR	5.599	11.901	12.114
FECH	0.259	5.896	6.638
FEM1A	8.639	12.067	13.513
FEM1B	2.08	10.547	9.72
FEM1C	1.685	9.654	7.82
FEN1	10.339	48.014	41.721
FENDRR	1.055	1.515	1.207
FER	1.574	3.412	3.536
FER1L5	0.057	0.145	0.033
FER1L6	0.001	0.001	0
FER1L6-AS1	0.412	0.484	0.362
FER1L6-AS2	0	0.011	0
FERD3L	0	0	0
FERMT1	0.111	1.852	2.443
FERMT2	3.374	9.886	9.03
FERMT3	0.083	0.838	1.012
FES	0.045	0.001	0.031
FETUB	0.002	0	0
FEV	0	0	0
FEZ1	0.001	0	0.001
FEZ2	3.559	13.462	9.475
FEZF1	0	0	0
FEZF1-AS1	0	0	0
FEZF2	0.1	0.091	0.121
FFAR1	0.002	0.002	0.002
FFAR2	0	0	0
FFAR3	0.001	0	0
FFAR4	0	0	0.022
FGA	0	0	0
FGB	0.001	2.1	0.332
FGD1	2.135	3.055	3.143
FGD2	4.303	3.614	3.878
FGD3	1.453	9.38	12.551
FGD4	1.092	6.238	5.802
FGD5	0.009	0.123	0.031
FGD5-AS1	13.191	16.563	15.941
FGD6	0.944	4.937	4.347
FGF1	0.02	0.002	0.247
FGF2	1.406	7.176	3.646
FGF3	0	0	0
FGF4	0	0	0
FGF5	0	0	0.002
FGF6	0	0	0
FGF7	0.019	0.023	0.192
FGF8	0.002	0.002	0.002
FGF9	0	0	0
FGF10	0	0	0
FGF10-AS1	0	0	0
FGF11	0.336	0.525	0.487
FGF12	0	0	0
FGF12-AS1	0	0	0
FGF12-AS2	0	0	0
FGF13	0	0	0
FGF13-AS1	5.01	6.83	6.78
FGF14	0	0	0
FGF14-AS1	0	0	0
FGF14-AS2	0	0	0
FGF14-IT1	0	0	0
FGF16	0	0	0
FGF17	0.015	0.023	0.212
FGF18	0.001	0.003	0.336
FGF19	0	0.4	0.02
FGF20	0	0	0
FGF21	0.296	0.024	0.166
FGF22	0.002	0.018	0.013
FGF23	0	0	0
FGFBP1	3.837	26.748	12.179
FGFBP2	0	0.001	0.002
FGFBP3	0.06	0.67	0.938
FGFR1	4.789	6.707	7.736
FGFR1OP	0.328	10.286	11.876
FGFR1OP2	0.171	5.666	5.353
FGFR2	1.448	3.714	4.152
FGFR3	1.441	6.132	6.116
FGFR4	2.195	4.035	5.909
FGFRL1	1.101	2.05	2.608
FGG	0.001	0.012	0.011
FGGY	0.389	1.533	1.519
FGL1	0.03	0.03	0.447
FGL2	0.023	0.012	0.008
FGR	0	0	0
FH	9.373	63.419	50.841
FHAD1	0.001	0.004	0.005
FHAD1-AS1	2.613	2.055	2.069
FHDC1	1.052	3.593	4.254
FHIT	19.464	18.62	18.811
FHL1	0.052	2.116	1.4
FHL2	17.868	91.958	141.456
FHL3	3.231	11.618	14.787
FHL5	0	0	0
FHOD1	4.156	14.113	11.823
FHOD3	0.001	0.001	0
FIBCD1	0.371	1.074	1.004
FIBIN	0.049	0.801	0.501
FIBP	22.238	79.25	81.254
FICD	0.501	1.446	1.577
FIG4	0.284	13.859	13.375
FIGLA	0	0	0
FIGN	0.474	2.553	1.441
FIGNL1	1.516	8.472	5.892
FIGNL2	0.002	0	0
FIGNL2-DT	0	0	0
FILIP1	17.386	12.663	12.714
FILIP1L	0.045	0.795	0.897
FILNC1	0	0	0.001
FIP1L1	4.058	13.598	11.871
FIRRE	9.519	7.047	6.681
FIS1	10.917	39.397	37.513
FITM1	0.03	0.205	0.023
FITM2	1.339	3.069	3.845
FIZ1	5.972	8.833	8.585
FJX1	11.221	27.395	28.667
FKBP1A	37.685	173.832	176.274
FKBP1A-SDCBP2	3.343	9.239	10.094
FKBP1B	0.052	0.537	0.88
FKBP2	19.033	75.156	74.838
FKBP3	3.378	26.743	23.136
FKBP4	9.231	32.892	33.344
FKBP5	4.028	30.702	20.874
FKBP6	0.028	0.026	0.108
FKBP7	0.076	1.661	0.077
FKBP8	60.989	117.88	109.748
FKBP9	8.228	34.583	36.08
FKBP10	0.019	0.066	0
FKBP11	1.252	4.843	5.934
FKBP14	14.55	16.691	15.221
FKBP15	1.371	7.413	6.457
FKBPL	2.183	6.804	5.525
FKRP	2.995	6.18	5.935
FKSG29	0.079	1.373	1.018
FKTN	2.798	3.226	3.169
FLACC1	0.036	0.457	0.37
FLAD1	4.817	29.159	22.686
FLCN	3.274	6.582	6.93
FLG	0.061	0.049	0.163
FLG-AS1	0.449	0.511	0.585
FLG2	0.001	0	0.001
FLI1	0	0	0
FLICR	0.003	0.003	0
FLII	9.84	37.088	34.887
FLJ12825	4.483	4.228	4.299
FLJ13224	0.262	1.418	1.072
FLJ16779	0.047	0.045	0.037
FLJ20021	0.903	1.598	1.92
FLJ20712	0	0	0
FLJ22447	0.156	0.264	0.464
FLJ30679	0.904	1.238	1.284
FLJ31104	11.241	8.954	9.582
FLJ31356	4.305	3.768	3.624
FLJ32255	2.146	1.979	1.838
FLJ33534	0.682	0.593	0.741
FLJ34503	0.01	0.057	0.121
FLJ36000	1.88	2.555	2.341
FLJ37453	7.945	7.81	6.574
FLJ38576	0.04	0.111	0.001
FLJ39095	0.2	0.741	0.551
FLJ40194	0.559	0.651	0.513
FLJ40288	0	0.001	0.008
FLJ42102	7.029	6.226	6.153
FLJ42351	0.027	0.624	0.583
FLJ42393	2.504	2.295	2.228
FLJ42627	9.14	10.31	9.59
FLJ42969	0.002	0.232	0.154
FLJ44635	0	0.002	0.015
FLJ45513	0.324	0.556	0.527
FLJ46284	0.001	0.001	0.001
FLJ46875	0.225	0.445	0.327
FLJ46906	1.84	4.806	4.799
FLNA	111.92	460.257	496.818
FLNB	9.534	50.505	41.013
FLNB-AS1	0.994	4.241	3.744
FLNC	0.03	0.045	0.082
FLNC-AS1	0	0	0
FLOT1	19.938	64.591	59.896
FLOT2	9.29	44.071	39.987
FLRT1	1.396	2.286	2.899
FLRT2	0.095	0	0
FLRT3	0.028	0.699	0.439
FLT1	0.016	0.018	0.018
FLT3	0.041	0.248	0.547
FLT3LG	4.717	6.969	6.365
FLT4	0	0.004	0
FLVCR1	2.042	7.241	4.54
FLVCR1-DT	0.381	1.009	0.358
FLVCR2	0.244	0.801	1.361
FLYWCH1	5.432	7.54	7.806
FLYWCH2	5.469	11.55	12.449
FMC1	28.305	27.103	27.918
FMC1-LUC7L2	0.356	1.712	2.178
FMN1	0.515	1.865	2.033
FMN2	0	0	0
FMNL1	0.543	1.109	1.608
FMNL2	3.288	13.93	12.993
FMNL3	1.449	2.033	2.317
FMO1	0	0.01	0.021
FMO2	0.022	0.547	0.402
FMO3	0.059	0.947	0.877
FMO4	0.073	1.697	1.842
FMO5	1.514	8.082	6.827
FMOD	0	0.002	0
FMR1	13.784	63.879	51.837
FMR1-AS1	0.002	0.176	0.07
FMR1NB	0	0	0
FN1	0.287	3.13	1.983
FN3K	2.698	6.163	5.058
FN3KRP	4.911	26.935	21.73
FNBP1	0.375	1.684	1.644
FNBP1L	5.284	20	18.609
FNBP4	16.49	21.535	20.958
FNDC1	0.003	0	0
FNDC3A	1.203	4.314	4.007
FNDC3B	6.282	26.282	28.49
FNDC4	0.002	0.026	0.174
FNDC5	0.609	0.023	1.119
FNDC7	0.007	0.001	0.007
FNDC8	0.044	0.758	0.57
FNDC9	0	0	0
FNDC10	2.219	2.157	2.18
FNDC11	0.002	0	0.001
FNIP1	1.163	7.456	5.616
FNIP2	0.703	3.123	2.149
FNTA	3.603	17.398	16.199
FNTB	0.139	1.777	3.09
FOCAD	0.777	3.594	3.798
FOCAD-AS1	0.003	0.269	0.022
FOLH1	0	0	0
FOLH1B	0	0	0
FOLR1	0.517	0.844	0.792
FOLR2	0	0	0
FOLR3	0	0	0
FOPNL	16.1	16.149	16.77
FOS	0.649	3.573	3.831
FOSB	0.383	1.075	1.336
FOSL1	0.132	4.363	7.401
FOSL2	6.075	23.993	35.089
FOXA1	5.125	14.071	8.174
FOXA2	0	0	0
FOXA3	0.015	0.001	0.002
FOXB1	0.051	1.908	1.733
FOXB2	0.016	0.009	0.071
FOXC1	16.42	52.206	46.505
FOXC2	0.009	0.03	0
FOXC2-AS1	0	0.012	0
FOXCUT	0.482	2.121	1.076
FOXD1	5.22	6.444	5.729
FOXD2	0.835	1.988	0.85
FOXD2-AS1	1.155	1.671	1.621
FOXD3	0.015	0.183	0.01
FOXD3-AS1	0.035	0.031	0.254
FOXD4	0.068	0.014	0.014
FOXD4L1	0.043	0.078	0.001
FOXD4L3	0.012	0.018	0.001
FOXD4L4	0.018	0.006	0.011
FOXD4L5	0.004	0.001	0.001
FOXD4L6	0.012	0.018	0.001
FOXE1	0	0.001	0
FOXE3	0.001	0.215	0.173
FOXF1	0	0	0.001
FOXF2	0.472	0.529	0.955
FOXG1	0.036	0.013	0.071
FOXG1-AS1	7.147	6.943	6.963
FOXH1	0.037	0.75	0.674
FOXI1	8.158	38.816	48.454
FOXI2	0	0	0.001
FOXI3	1.325	4.15	3.439
FOXJ1	0.068	0.424	0.608
FOXJ2	0.191	5.201	4.492
FOXJ3	4.047	16.249	12.96
FOXK1	10.114	23.254	18.11
FOXK2	6.309	18.232	17.802
FOXL1	0	0	0
FOXL2	0	0	0
FOXL2NB	0	0	0
FOXM1	8.335	31.853	24.335
FOXN1	0	0	0
FOXN2	1.501	6.163	5.277
FOXN3	1.7	6.676	5.714
FOXN3-AS1	0.025	0.027	0.231
FOXN3-AS2	0.002	0.001	0.001
FOXN4	0.033	0.229	0.446
FOXO1	1.065	0.732	1.219
FOXO3	8.064	35.039	30.837
FOXO3B	7.291	13.383	13.123
FOXO4	0.106	2.507	1.98
FOXO6	15.201	16.578	17.011
FOXO6-AS1	9.548	10.929	10.032
FOXP1	1.066	4.716	4.189
FOXP1-AS1	19.757	17.693	16.923
FOXP2	0.101	0.37	0.225
FOXP3	0.138	0.135	0.015
FOXP4	27.011	50.943	45.566
FOXP4-AS1	0.128	3.791	3.869
FOXQ1	5.166	6.107	12.678
FOXR1	1.629	1.602	1.728
FOXR2	0	0	0
FOXRED1	3.87	14.159	13.083
FOXRED2	8.953	40.182	39.385
FOXS1	0	0	0
FPGS	15.803	29.408	29.689
FPGT	0.808	3.604	2.097
FPGT-TNNI3K	0.001	0	0.001
FPR1	0	0.001	0
FPR2	0	0	0
FPR3	0.001	0	0.001
FRA10AC1	2.097	4.676	4.366
FRAS1	0.618	0.493	1.008
FRAT1	0.951	1.042	2.176
FRAT2	5.032	6.258	7.718
FREM1	0.039	0.096	0.087
FREM2	0.048	0.017	0.001
FREM2-AS1	0	0	0
FREM3	0	0	0
FRG1	2.661	3.496	3.322
FRG1-DT	2.805	2.877	2.979
FRG2	0.001	0.001	0
FRG2B	0.001	0	0
FRG2C	0.002	0.001	0.012
FRGCA	0.008	0.018	0.099
FRK	1.852	14.862	9.785
FRMD1	0.884	0.819	0.834
FRMD3	0.03	1.205	0.616
FRMD4A	1.342	2.126	1.288
FRMD4B	0.432	1.818	0.944
FRMD5	0.411	1.167	0.678
FRMD6	1.189	3.867	4.316
FRMD6-AS1	5.922	4.973	5.108
FRMD6-AS2	0.001	0	0.001
FRMD7	0.002	0.01	0.01
FRMD8	8.43	19.535	19.045
FRMPD1	0.025	0.068	0.007
FRMPD2	0.051	0.508	0.536
FRMPD3	0.18	1.102	0.995
FRMPD3-AS1	0.001	0.142	0
FRMPD4	0	0.048	0.067
FRRS1	0.169	7.826	4.356
FRRS1L	0.001	0	0.008
FRS2	0.15	4.778	4.115
FRS3	0.679	2.069	1.508
FRY	0.302	3.537	3.464
FRY-AS1	9.285	8.176	8.011
FRYL	1.439	9.865	10.129
FRZB	0	0.001	0.016
FSBP	0.045	1.799	1.1
FSCB	0	0	0.001
FSCN1	1.339	3.818	9.126
FSCN2	2.474	4.012	4.085
FSCN3	0	0	0
FSD1	0.056	0.933	2.947
FSD1L	0.048	1.984	1.428
FSD2	0.336	0.415	0.401
FSHB	0	0	0
FSHR	0	0	0
FSIP1	0.017	0.012	0.105
FSIP2	0.009	0.105	0.066
FSIP2-AS1	0.018	0.002	0.016
FSIP2-AS2	0.001	0.001	0
FST	0.002	1.17	0.622
FSTL1	0.044	0.014	0.302
FSTL3	0.851	2.044	3.841
FSTL4	0	0.132	0.011
FSTL5	0	0	0
FTCD	0.012	0.011	0.066
FTCD-AS1	0.001	0	0.001
FTCDNL1	1.324	1.365	1.475
FTH1	538.817	2363.431	2972.549
FTHL17	0.041	0	0.64
FTHL18	0.033	0.627	0.276
FTL	25.308	58.128	81.064
FTMT	0	0	0.002
FTO	26.785	36.643	29.399
FTO-IT1	0.069	1.837	1.457
